zone_code,zone_name,population_density,average_income,education_level,economic_activity_index,commercial_presence_index
MED-001,El Poblado,11500,5800000,92,90,95
MED-002,Laureles,15200,3900000,85,82,88
MED-003,Belen,18500,2600000,75,68,72
MED-004,Aranjuez,22000,1900000,65,55,60
MED-005,Castilla,21500,2000000,68,58,62
MED-006,La America,17800,2700000,76,70,74
MED-007,Robledo,19500,2200000,70,62,68
MED-008,San Javier,24500,1500000,55,45,50
MED-009,Buenos Aires,20500,2100000,68,58,64
MED-010,Manrique,23500,1600000,58,48,52
MED-011,Popular,26000,1200000,50,38,42
MED-012,Santa Cruz,24800,1400000,54,42,46
MED-013,Villa Hermosa,21000,1850000,62,52,58
MED-014,La Candelaria,13500,3200000,80,72,78
MED-015,Doce de Octubre,25000,1350000,52,40,44
MED-016,Guayabal,18000,2800000,72,68,75
MED-017,Altavista,22500,1700000,60,50,54
MED-018,San Antonio de Prado,20000,2300000,67,60,66
MED-019,San Cristobal,19200,2500000,70,65,70
MED-020,Palmitas,17500,2900000,73,69,73
